trade_date,change验证差值,pct_chg验证差值,"high>=max(open,close)","low<=min(open,close)"
20260120,0.0,0.0,通过,通过
20260121,0.0,0.0,通过,通过
20260122,0.0,0.0,通过,通过
20260123,0.0,0.0,通过,通过
20260126,0.0,0.0,通过,通过
20260127,0.0,0.0,通过,通过
20260128,0.0,0.0,通过,通过
20260129,0.0,0.0,通过,通过
20260130,0.0,0.0,通过,通过
20260202,0.0,0.0,通过,通过
20260203,0.0,0.0,通过,通过
20260204,0.0,0.0,通过,通过
20260205,0.0,0.0,通过,通过
20260206,0.0,0.0,通过,通过
20260209,0.0,0.0,通过,通过
20260210,0.0,0.0,通过,通过
20260211,0.0,0.0,通过,通过
20260212,0.0,0.0,通过,通过
20260213,0.0,0.0,通过,通过
20260224,0.0,0.0,通过,通过
20260225,0.0,0.0,通过,通过
20260226,0.0,0.0,通过,通过
20260227,0.0,0.0,通过,通过
20260302,0.0,0.0,通过,通过
20260303,0.0,0.0,通过,通过
20260304,0.0,0.0,通过,通过
20260305,0.0,0.0,通过,通过
20260306,0.0,0.0,通过,通过
20260309,0.0,0.0,通过,通过
20260310,0.0,0.0,通过,通过
20260311,0.0,0.0,通过,通过
20260312,0.0,0.0,通过,通过
20260313,0.0,0.0,通过,通过
20260316,0.0,0.0,通过,通过
20260317,0.0,0.0,通过,通过
20260318,0.0,0.0,通过,通过
20260319,0.0,0.0,通过,通过
20260320,0.0,0.0,通过,通过
20260323,0.0,0.0,通过,通过
20260324,0.0,0.0,通过,通过
20260325,0.0,0.0,通过,通过
20260326,0.0,0.0,通过,通过
20260327,0.0,0.0,通过,通过
20260330,0.0,0.0,通过,通过
20260331,0.0,0.0,通过,通过
20260401,0.0,0.0,通过,通过
20260402,0.0,0.0,通过,通过
20260403,0.0,0.0,通过,通过
20260407,0.0,0.0,通过,通过
20260408,0.0,0.0,通过,通过
20260409,0.0,0.0,通过,通过
20260410,0.0,0.0,通过,通过
20260413,0.0,0.0,通过,通过
20260414,0.0,0.0,通过,通过
20260415,0.0,0.0,通过,通过
20260416,0.0,0.0,通过,通过
20260417,0.0,0.0,通过,通过
20260420,0.0,0.0,通过,通过
20260421,0.0,0.0,通过,通过
20260422,0.0,0.0,通过,通过
20260423,0.0,0.0,通过,通过
20260424,0.0,0.0,通过,通过
20260427,0.0,0.0,通过,通过
20260428,0.0,0.0,通过,通过
20260429,0.0,0.0,通过,通过
20260430,0.0,0.0,通过,通过
20260506,0.0,0.0,通过,通过
20260507,0.0,0.0,通过,通过
20260508,0.0,0.0,通过,通过
20260511,0.0,0.0,通过,通过
20260512,0.0,0.0,通过,通过
20260513,0.0,0.0,通过,通过
20260514,0.0,0.0,通过,通过
20260515,0.0,0.0,通过,通过
20260518,0.0,0.0,通过,通过
20260519,0.0,0.0,通过,通过
20260520,0.0,0.0,通过,通过
20260521,0.0,0.0,通过,通过
20260522,0.0,0.0,通过,通过
20260525,0.0,0.0,通过,通过
20260526,0.0,0.0,通过,通过
20260527,0.0,0.0,通过,通过
20260528,0.0,0.0,通过,通过
20260529,0.0,0.0,通过,通过
20260601,0.0,0.0,通过,通过
20260602,0.0,0.0,通过,通过
20260603,0.0,0.0,通过,通过
20260604,0.0,0.0,通过,通过
20260605,0.0,0.0,通过,通过
20260608,0.0,0.0,通过,通过
20260609,0.0,0.0,通过,通过
20260610,0.0,0.0,通过,通过
20260611,0.0,0.0,通过,通过
20260612,0.0,0.0,通过,通过
20260615,0.0,0.0,通过,通过
20260616,0.0,0.0,通过,通过
20260617,0.0,0.0,通过,通过
20260618,0.0,0.0,通过,通过
20260622,0.0,0.0,通过,通过
20260623,0.0,0.0,通过,通过
20260624,0.0,0.0,通过,通过
20260625,0.0,0.0,通过,通过
20260626,0.0,0.0,通过,通过
20260629,0.0,0.0,通过,通过
20260630,0.0,0.0,通过,通过
20260701,0.0,0.0,通过,通过
20260702,0.0,0.0,通过,通过
20260703,0.0,0.0,通过,通过
